ImgId,Dakota,English,who did this?
00001,tibosdate,wall,JK
00001,tiosksaƞ,around the outside of the house,JK
00001,tiyata,at the house,JK
00001,tiyohnaka,"things in the house, as in household goods",JK
00001,caƞakanyaƞkapi,chair,JK
00001,oṡkata,game,JK
00001,wicasto,hairbrush,JK
00001,ipakca,comb,JK
00001,tipi,dwelling,JK
00001,tiyopa,door,JK
00001,owaƞye,window,JK
00001,oceti,stove,JK
00001,oehdepi,bed,JK
00001,owiƞja,blanket,JK
00001,waahnutapi,table,JK
00001,wato,grass,JK
00001,tiobdaya,yard,JK
00001,wi,sun,JK
00001,caƞ,tree,JK
00001,haḣoƞta,thread,JK
00001,wapahmuƞpi,yarn,JK
00002,henuḣ niya uƞ he?,are you still living?,JK
00002,tokedked yauƞ he?,what happened to you?,JK
00002,wau owakihiṡ̇ni,I couldn't come,JK
00002,bda owakihiṡni,I couldn't make it,JK
00002,heekṡe opeṡni,that doesn't belong there,JK
00002,nakahaḣ yahi he?,you're just now arriving?,JK
00002,tukted ḣtayani he?,where do you work?,JK
00002,taktokanuƞ he?,what do you do?,JK
00002,takuna okihiṡni,impotent,JK
00002,hokṡid yuha kteṡni pejuhuta,birth control pills,JK
00002,hokkṡid yuha okihik̇ni,can't have kids,JK
00002,patopi iyakaṡkapi,they had an operation & tied it,JK
00002,hecuƞṡni,abstinence,JK
00002,hokṡid yuha waƞna ihduṡtaƞ,menopause,JK
00003,tohaƞ imacaġe kiƞhaƞ,when I grow up....,JK
00003,woyute uƞ saniya uƞpta wate kiƞhan tokatakiya zaniya imagaġin kte,Eating healthfully will help me grow into a healthy adult,JK
00003,nina mmataƞyaƞ,I feel good,JK
00003,hemaca wacin,I want to be,JK
00003,taku oƞe ecamuƞ waciƞ,things i want to do,JK
00003,tokikiya bda waciƞ,places i want to go,JK
00004,___ he ____ yusadohaƞ ḳa akan ehnake,drag the ____ and put it on the ____,JK
00005,takad de k'ta?,going to the bathroom,JK
00005,mazokokana ohnakapi,can of,JK
00005,koko ojutoƞ,filling a box with,JK
00005,koka ohnakapi,box of,JK
00005,ojutoƞ,fill up,JK
00005,ojuhoƞtoƞ,bag of,JK
00005,wojuha ojuna,sack full of,JK
00005,ojutoƞpi,filled with the subject,JK
00005,jaƞjaƞ,bottle of,JK
00005,ma'ska opiena,purse,JK
00005,tecab hena tawacin icaḣ ayapi,growing young minds,JK
00005,taku iyukcaƞk̇ni Ecamuƞk̇ta ohiƞni micahda nayahiƞ he wopida heca,"Even though I've done things without thinking, you've always stood beside me.  For that, I'm thankful.",JK
00006,taku yata he?,what did you eat?,JK
00006,nakahah wauƞtapi,we just now ate,JK
00006,haƞyetu ca wawata wcaiƞk̇ni,I don't want to eat at night,JK
00006,iyagezizi num wate,i ate two bananas,JK
00006,haƞcokaya hehan nakahah wauƞtapi,we didn't eat until midnight,JK
00006,john tehiƞni aġuyapi yuta?,when did John eat the breat?,JK
00006,waƞna wayate kiƞhaƞ wotayahdaktek̇ni,"if you eat now, you won't be hungry",JK
00006,taspaƞ wate,i ate apples,JK
00006,siƞ yutapi,they ate bacon,JK
00006,ota wate,i ate a lot,JK
00006,wiyotaƞhaƞ kiƞhan wauƞtapte,we are eating at noon,JK
00006,suƞka nupin wotapi,both of the dogs ate,JK
00006,caƞhaƞpk̇ak̇ana yutapi kiƞhaƞ ota oniwastepte k̇ni,eating too much candy is not good,JK
00006,whaƞpi wakage tuwena yute sni,no one ate the soup I made,JK
00006,tuwe owta he?,who is eating?,JK
00006,owas wowate tebwaye,i ate it all,JK
00006,tuwe asaƞpi suta yuta he ?,who ate the cheese?,JK
00006,a + W ed wauƞtapte,we will eat at the A + W,JK
00006,tuwe wotek̇ni?,who didn't eat?,JK
00006,tokcuƞ Mary wota sni he?,why didn't Mary eat?,JK
00006,decana wawate kAik̇ henuh' wotawahda,"although I ate, I'm still hungry",JK
00006,wauƞtapi,we ate,JK
00006,oƞge wate,I ate some,JK
00006,henuh wawatek̇ni,i didn't eat yet,JK
00006,wayata he?,did you eat?,JK
00006,anpetuizaptaƞ hehan connection ed wawate,I ate the connection on friday,JK
00006,tuwe woyute kebkiyek̇ni he?,who didn't eat up their food?,JK
00006,wacekiya ihduk̇taƞ hehan wauƞtap,We ate when they got done praying,JK
00007,heciya,over there,JK
00007,ota,much; more; many; lots,JK
00007,c̣onana,less; few,JK
00007,heciya bde k'te,i am going over there,JK
00007,nina ota duhe,you have a lot more,JK
00007,c̣onana ed un,there is less there,JK
00007,ed,specific place,JK
00008,tacaƞ wak̇ake woecuƞ,healthful habits,JK
00008,wamanica ka wato kiƞoƞġe ninacistiƞna ka Ik̇ta uƞ ya kapi pica k̇ni. jajaƞ k̇oka waƞyakapi heced uƞ wauƞyakapi uƞkokihipi. ḣeun oƞe wayaza kaoyaƞpi okihi.,there are tiny plants and animals that are so small we cannot see them without using a microscope. Some of them make us sick,JK
00008,watosica,germs,JK
00008,heced nape hdujajapi heced wabsica heced uƞkisicapik̇ni,we was our hands so germs will not get inside our body,JK
00008,wapajaja,soap,JK
00009,iyasakabyapi,scotch tape,JK
00009,owiƞja,sleeping mat,JK
00009,un awkk̇icayujaja,sink,JK
00009,iyaskoyapi hiyu makiya,hand me the tape,JK
00009,owiƞa akaƞ iwaƞka,lay on the mat,JK
00009,un wakk̇icajaja mni okastaƞ,pour water in the sink,JK
00010,taktotuƞ,Doing what? What does he do?,CF
00010,"Magic ekta wabdake, tehan wabdakesni.","I saw him at Magic, I haven’t seen him for a long time.",CF
00010,Decana wadaka he?,Have you seen him lately?,CF
00010,Decanaked wabdake.,I saw him a few days ago (but not a long time ago).,CF
00010,Ḣtaƞihaƞ saƞpa,the day before yesterday,CF
00010,Nakahaḣ wabdake.,I just saw him.,CF
00010,Ded nakahaḣ opta mani iyaya.,He just walked by.,CF
00010,Nakahaḣ̇ ded iyeciƞkopta ohna iyaye.,He just drove by.,CF
00011,Wihiyayena oiheya tipi heciya tohaƞ otkeya pajaja he kiƞ kiƞhaƞ sdodya kiƞ kte.,Hang your clock in the bathroom at home to remind you when it is time to brush your teeth.,CF
00012,"Mazopiyata bdekte ṡni kiƞhaƞ, wowapi mitawa bdawa kte tka.","If I didn’t have to go to the store, I would read my book.",CF
00012,John aƞpetu izaptaƞ ye kte ṡni.,John is not going on Friday.,CF
00012,Tohan de kiƞhaƞ iyeciƞkopa mitawa aya.,"When you go, take my car.",CF
00013,De yuta.,You eat this.,CF
00013,John wote.,John ate.,CF
00013,Waƞna wota.,Eat now.,CF
00013,Iyaġezizi yuta.,You eat bananas.,CF
00013,Waƞna tuwe wota he?,Who is eating now?,CF
00013,Wayata he?,did you eat?,CF
00013,Aġuyapi wate.,I ate bread.,CF
00013,Wauƞtapte.,We are going to eat.,CF
00013,Aġuyapi ġi wate.,I ate brown bread.,CF
00013,Waƞna wawata waciƞ.,I want to eat now.,CF
00013,De yata oyakihi he?,Can you eat this?,CF
00013,Tuwe wota he?,Who is eating?,CF
00013,Tohan wayata he?,When did you eat?,CF
00013,Tukted wauƞtapta he?,Where are we eating?,CF
00013,Aġuyapi skuya wata owakihiṡni.,I can’t eat cake.,CF
00013,Tokcuƞ wayate ṡni he?,Why didn’t you eat?,CF
00013,Aƞpetu ataya wawateṡni.,I haven’t eaten all day.,CF
00013,Haḣaƞna witka wate kte.,"Tomorrow morning, I will eat eggs.",CF
00013,Wayata heciƞhaƞ omakiyaka.,Tell me if you ate already.,CF
00013,Taspaƞ wopemniṡpaƞ yutapi iyonikpi he?,Do you like to eat apple pie?,CF
00013,Tado ḳa bdo yutapi.,They ate meat and potatoes.,CF
00013,Tohan uƞkihduṡtaƞpta wod.,When we get done eating.,CF
00013,Aƞpetu inuƞpa he éhaƞ aġuyapi ipiḣyapi wate.,On Tuesday I ate frybread.,CF
00013,Tonakiya aƞpetu de wayata he?,How many times did you eat today?,CF
00013,Ahaṡ ota wawata kiƞhaƞ tezi mayazaƞ.,When I eat too much my stomach hurts.,CF
00013,Otuƞwe hetaƞhaƞ hdipi kiƞhaƞ hehan wota kte.,They will eat when they return from town.,CF
00013,"Oḣaƞkoya wawate kiƞhaƞ, awapabdu ceè.",Eating fast makes me burp.,CF
00014,watuka he?,Are you tired?,CF
00014,hiyu,come,CF
00014,kud inajiƞ,get down,CF
00014,i ahdaḣpa,cover your mouth,CF
00014,Ihnuhnuḣ onihinḣpaye kte!,You might fall!,CF
00014,iyenakca,enough,CF
00014,ikopa!,Look out!,CF
00014,wokokipe,danger,CF
00014,Pte takeya?,What does the cow say?,CF
00014,Kukuṡe takeya?,What does the pig say?,CF
00014,Taƞyaƞ ṡkatapi.,Play nicely.,CF
00014,iyaya,go out or go,CF
00014,wota,eat,CF
00015,hed,there,CF
00015,Hed ehnaka.,Put it there.,CF
00015,deciya,over here ,CF
00015,Deciya u.,Come over here.,CF
00015,ecuƞwaƞpana,later,CF
00015,Ecuƞwaƞpana wa u kte.,I’ll come later on.,CF
00015,haḣaƞna,tomorrow,CF
00015,Haḣaƞna owas uƞyaƞ pte.,We’ll go tomorrow.,CF
00015,aƞpetu de,today,CF
00015,Aƞpetu de wayawa bde kte.,I’m going to school today.,CF
00015,timahed,inside,CF
00015,Timahed hiyu.,Come inside.,CF
00015,takad,outside,CF
00015,Takad ṡkatapi!,Play outside!,CF
00015,kate,hot,CF
00015,Wahaƞpi kiƞ kate!,The soup is hot!,CF
00016,iyutana,measured amount enough for you,CF
00017,wiyeya wo,get ready,CF
00017,inajiƞ,get set,CF
00017,iyaya (wo),go,CF
00017,Curly k̇a Max kiwiyayapi kà caƞ kahmihmiya uƞ kiiyakapte.,Curly and Max were getting ready for the great in-line skating race.,CF
00018,Haƞpa kahmihma iteowapi pazopi isam waṡte.,Roller blading is a lot more watching TV all the time.,CF
00018,Max bdiheciya ṡkaƞ heuƞ tacaƞ nina waṡáke.,And the exercise helps to make his body strong.,CF
00018,Taƞyaƞ wayate kiƞhaƞ iniwaṡte kte.,Eating right can also work for you.,CF
00019,"Frosty wawicaṡta, iyuṡkiƞya opiic̣iye, caƞduhupa, ḳa taṡpu pasu, ḳa iṡtag num caḣdi uƞkaġapi","Frosty the snowman, was a jolly happy soul, with a corn cob pipe, and a button nose, and two eyes made out of coal",CF
00019,"Frosty wawicaṡta, hituƞkaƞkaƞ keyapi, wa uƞkaġapi, ṡicecag sdodyapi, aƞpetu waƞ kini","Frosty the snowman, is a fairy tale they say, he was made of snow, but the children know, how he came to life one day",CF
00019,"Wakaƞkaƞ naceca, mniḣoḣa wapaha iyeyapi, pa akaƞ ehnakapi hehan, ihduhomni waci","There must have been some magic, in that old silk hat they found, for when they placed it on his head, he began to dance around",CF
00019,"Frosty wawicaṡta, tohanya uƞkihib niuƞ, ṡiceca heyapi, iḣa ḳa ṡkata okihi, de miye ḳ̣a niye iyeced","Frosty the snowman, was alive as he could be, and the children say, he could laugh and play, just the same as you and me",CF
00019,"Thumpety thump thump thumpety thump thump, Frosty iyaye wayaka, thumpety thump thump thumpety thump thump, wa pahaya akan","Thumpety thump thump thumpety thump thump, look at Frosty go, thumpety thump thump thumpety thump thump, over the hills of snow",CF
00019,"Frosty wawicaṡta, aƞpetu de wi kata sdodye, heced uƞkiyaƞkapte, ḳa hehan iyokpiya uƞṡkaƞpte, waƞna maṡkaƞṡni eced","Frosty the snowman, knew the sun was hot that day, so he said "Let’s run, and we’ll have some fun, before I melt away."""rosty the snowman, knew the sun was hot that day, so he ",CF
00019,"Okuya oeti ekta, owaƞkicahiƞte yuha, enana itoheya oiyaƞke, obdetuƞ aokṡaƞ, omayaduza oyakihi kiƞhaƞ","Down to the village, with a broomstick in his hands, running here and there, all around the square, saying "catch me if you can."""own to the village, w",CF
00019,"Otuƞwe ocaƞku kudiya awicaye, wicakaṡte etkiya, ocistinƞa inajiƞ, "Inajiƞ" eya paƞ naḣoƞ.""tuƞwe ocaƞku kudiya awi","He led them down the streets of town, right to a traffic cop, and he only paused a moment, when he heard him holler "Stop."""e led ",CF
00019,"Frosty wawicaṡta, inaḣniya ye ḳa, nape koskose, ceyaṡni eya, tokṡta aƞpetu ed wahdi kte.","Frosty the snowman, had to hurry on his way, but he waved goodbye, saying don’t you cry, I’ll be back again someday",CF
00019,"Thumpety thump thump thumpety thump thump, Frosty iyaye wayaka, thumpety thump thump thumpety thump thump, wa pahaya kaan","Thumpety thump thump thumpety thump thump, look at Frosty go, thumpety thump thump thumpety thump thump, over the hills of snow",CF
00019,"Otuƞwe ocaƞku, ocaƞku ohiƞni taku ecoƞ, Christmas heuƞ yupia ihduze, tuktedtu ḳaiṡ Christmas se’ececa",,CF
00019,"Ḣdaḣdaḣda mazaska ḥdaḣdaḣda mazaska, otuƞweta ekta waƞna Christmas, kaḣdaḣda naḣoƞ, waƞna Christmas ikiyena",,CF
00019,"Ocaƞku wikaƞs’e ijaƞjaƞ, nakun inajiƞ ijaƞjaƞ, ṡaṡa ḳa nakun toto hiƞhde, woopetuƞ hena taku waṡteṡte tiyanyaƞpi, wa kiƞskiƞza naḣoƞ, ṡiceca kiwiyatapi, waziya wowaƞketawa, ḳa iwaƞkab nina ṡkaƞpi niye nayaḣoƞ",,CF
00019,"Ḣdaḣdaḣda mazaska ḥdaḣdaḣda mazaska, otuƞweta eka waƞna Christmas, kaḣdaḣda naḣoƞ, waƞna Christmas ikiyena",,CF
00020,ḣecuƞ sni,don't do that!,JK
00020,wapaha he waṡtewadaka,I like that hat,JK
00020,iyeciƞkopta he waṡtewadaka,I like that car,JK
00020,uƞ masapapi he wastewadaka,I like that phone,JK
00020,wanna ecamuƞ kte,I'll do it right now,JK
00020,haḣaƞna ecamuƞ kte,I'll do it tomorrow,JK
00020,watig etkiya bde kte,I'm going to my house,JK
00020,htani bde kte,I'm going to work,JK
00020,mazaska tipi bde kte,I'm going to the bank,JK
00020,mazopiyata bde kte,grocery store,JK
00020,oṡkata tipi ekta bde kte,casino,JK
00020,kapopapina waƞ waciƞ,I want a pop,JK
00020,caƞhaƞpṡaṡana,candy bar,JK
00020,bdo zibzipena,chips,JK
00020,caƞdi,tobacco,JK
00021,woyute k̇kehaƞpi kci akiceca,balance food with activity,JK
00021,psiƞ,rice,JK
00021,aguyapi bdaska,pizza,JK
00021,watoto,salad,JK
00021,aƞpahotoƞna,chicken,JK
00021,aguyapi dod wikaƞ k̇e,spaghetti,JK
00021,tado wasteḣca,steak,JK
00021,woyute woju,vegetables,JK
00021,iƞyaƞke,run,JK
00021,mani,walk,JK
00021,tapa etkiya akicipapi,tennis,JK
00021,tapa ska hdeskak̇ka yuhu skatapi,soccer,JK
00021,nuwaƞpi,swimming,JK
00021,maza huhmiya uƞ nasdohaƞ iciy,rollerblade,JK
00021,mniḣuha suta akaƞ psica,jump on trampoline,JK
00022,nitaƞcaƞ kiƞ wayawapi wotapi uƞ wak̇agyapi/po hecd sutaya widukcaƞ kte,,JK
00022,dena iyuha maNġjina,,JK
00023,taƞyaƞ yahipi,it's good you guys arrived,CU
00023,ob yahipi he?,you guys cae with them?,CU
00023,niṡnana yahipi,you guys came alone,CU
00023,uƞhde kta,we are going to go home,CU
00023,tohan uƞhde kte?,when are we going home?,CU
00023,wikcemna ape kiNġhaNġ hehan uƞhde kte,we're going home at 10:00,CU
00023,uƞhdapi,,CU
00023,wahiƞhe kiƞhaƞ uƞdapi kte,"if it snows, we're going home",CU
00023,uƞhdapi kte sni kiƞhaƞ ina caƞze kte,"if we don't go home, mom will be mad",CU
00023,waziya hi hehan uƞdapi kte,"at Christmas, we are going home",CU
00023,hdapi,,CU
00023,hdapi kta he?,are they going home now?,CU
00023,watohan hdap̣kta he?,what time are they going home?,CU
00023,wa okicize ihaƞke waƞna akicita hdapi,"the war is over now, the soldiers are coming home",CU
00024,akanuƞpi,shirt,CU
00024,oƞzooġe,pants,CU
00024,haƞpa,shoe,CU
00024,huƞska,socks,CU
00024,napiƞkpa,mittens,CU
00024,tahuocosye,scarf,CU
00024,wapaha,hat,CU
00024,saksanica,dress,CU
00025,siha pakiƞta,wipe your feet,CU
00025,itokab timahed yahi kin siha pakiƞta,wipe your feet before you come in,CU
00026,tokedked yauƞ he?,what happened to you? (injury),CU
00026,wau owakihi ṡni,I couldn’t come,CU
00026,bda owakihi ṡni,I can’t go,CU
00026,wakaġ̣a owakihiṡni,I couldn’t make it,CU
00026,he ekṡ’e ope ṡni,that doesn’t belong there - as if! (jokingly refers),CU
00026,nakahaḣ yahi he?,"You’re just now arriving? (Finally, you are here?)",CU
00026,tukted ḣtayani he?,Where do you work?,CU
00026,taktokanuƞ he,What do you do?,CU
00027,"ihduwiya, inajiƞ, iyaya","ready, set, go",CF
00027,Ṡkehaƞ kataƞyaƞ wotapi nupin waṡ’agniyapte.,Physical activity and nutrition work together for better health.,CF
00027,Nina skehaƞpi he waṡte tehan ni yauƞ kte ka niwasake kte ka iyonikpi kte.,Being active is a key...,CF
00027,Oape waƞji aƞpetu iyohiya skehaƞ ic̣iya.,Try to be active one hour every day,CF
00027,yaiƞyaƞke,running,CF
00027,mani,walk ,CF
00027,tapa maza uƞ apapi,golfing,CF
00027,tehan manipi,walking long distances,CF
00027,nuwaƞpi,swimming,CF
00027,caƞhdeṡka akaƞyaƞkapi,bicycling,CF
00027,wacipi,dancing,CF
00028,Caƞiyowa waƞ bduhe.,I have a pencil.,CF
00028,Caƞiyowa duha he?,Do you have a pencil?,CF
00028,John caƞiyowa wan yuhe.,John has a pencil.,CF
00028,Caƞiyowa wan yuhapi.,They have a pencil.,CF
00028,John waƞji yuha he?,Does John have a one?,CF
00028,John caƞiyowa wan yuheṡni.,John does not have a pencil.,CF
00028,Tuwe caƞiyowa yuha he?,Who has a pencil?,CF
00028,Num bduheṡni.,I don’t have two.,CF
00028,John caƞiyowa zi yuhe.,John has a yellow pencil.,CF
00028,Caƞiyowa bduhe nina pe.,The pencil I have is very sharp.,CF
00028,Duha oyakihi.,You can have it.,CF
00028,Yuhapi tka.,They had it.,CF
00028,"Waƞji bduha tka, tog aḣpewaye.","I have one, but I lost it.",CF
00028,Mary saksanica yuhe ṡni.,Mary doesn’t have a dress.,CF
00028,Caƞhaƞpa tob teca yuhapi.,They have four new pairs of shoes.,CF
00028,Bduha owakihiṡni.,I can’t have it.,CF
00028,Mary waƞji mazaska opiye mahed yuhe.,Mary has one in her purse.,CF
00028,Ḣtanihan aguyapi ipiḣyapi uƞyuhapi.,"Yesterday, we had a fry bread.",CF
00028,Witka bduhe tka tuwe tebye.,"I had eggs, but someone ate them.",CF
00028,Mazaska wikcemna num bduhe kiƞhaƞ he opewatuƞ kte.,"If I had $20, I would buy that.",CF
00028,Aƞpetu de duha oyakihiṡni.,You cannot have it today.,CF
00028,Aƞpetu izaptaƞ hehan onġe yuhapta okihipi.,They can have some Friday.,CF
00028,Tuwe asaƞpi duha he?,Who has some milk?,CF
00028,Iyaġ̇ezizi waƞji duha oyakihi tka ḣtayetu hehan.,"You can have a banana, but not until tonight.",CF
00028,Aƞpetu wan waṡte bduhe.,I had a good day.,CF
00028,Waƞbdi wiyaka sbuna hupaha ohdate yuhe.,The eagle has plumes under its wings.,CF
00029,Tehan iṡtima kte kecameg ecuƞ bdoketu de aƞpetu nina owaṡtecake.,It was a warm summer day and Bob thought he was going to sleep in.,CF
00030,taƞyaƞ iyukcaƞpo wakiya hena taku oniciyakapte waƞna taƞyan,,JK
00030,anaġoptaƞ yaƞka po,,JK
00030,"de tuwe u kta, wowicake ohna dacopte heuƞ wakiya taku oniciyakab pte hena taƞyaƞ anagoptaƞ yaƞka po. Wacake is wokcake k̇ni hena niye yakaḣNige kte","whoever is coming, you will judge him or her. So listen well to what the lawyers are going to tell you. You have to decide what's true.",JK
00031,yuk̇iƞk̇iƞ,tickle,JK
00031,mayuNiƞk̇iƞk̇ni,don't tickle me,JK
00031,mayubazak̇ni,don't mess with me,JK
00031,yubaza,bothering,JK
00031,hi kpajaja,brush your teeth,JK
00031,suƞka woku,feed the dog,JK
00031,siceca toksu akipe,wait for the bus,JK
00031,taku yata yaun he?,what do you want to eat?,JK
00031,siceca toksu awayaƞ,watch for the bus,JK
00032,owas deci pi,all come over here,JK
00032,yuqita wauƞtapte,we'll eat together,JK
00032,k̇iceca deciya wod upi,come over here and eat children,JK
00032,kaƞ sam idade!,you went past ok,JK
00032,oḳa,,JK
00032,uƞoḳapi,something to use to dig,JK
00032,waokAk̇kaƞ waoḳa,shovel snow,JK
00032,iyokapte akan ehnakapi,coaster,JK
00032,iyokapte nitawa ded ehnaka,put your cup here,JK
00033,okitaƞna ohiwaye,i won a little bit,JK
00033,takuna wakasote k̇ni,i broke even,JK
00033,uƞkaƞ?,oh really?,JK
00033,itokab hececa he?,wasn't it having problems before?,JK
00033,yuhukub kaƞsu heuƞ mnikata opewataƞ kte bduhe,I have a coupon for coffee,JK
00033,taku tokca sdodwaƞek̇ni,i never know the difference,JK
00033,henuh dehuNya waka guju,I'm still paying,JK
00034,imnaiciya,something that happened that was carried away,JK
00034,tuwe tehiya wicakuwab seduƞyap kiƞhaƞ oitaƞcaƞ waƞji uƞkokiyakapte hehan nakun tiyata,,JK
00034,oƞġe ed ewicatuƞwaƞpk̇ni hena nakun optapte,,JK
00034,onġe tehiya wicakuwab hena owicuƞkiyapte,,JK
00034,ohitika ic̣idapi hecuƞptak̇ni woope owapi,,JK
00034,woope tokaheya,rule 1,JK
00034,woope huƞpa,rule 2,JK
00035,"ḣdaḣda ḣdaḣda nahunhuza, ḣdaḣda kahomni ḳa ḣdaḣda yuḣda, waḣiƞhe ḳa wakantakiya iyokpiya bobdu, waƞna ḣdaḣda wacipi",,JK
00035,"ḣdaḣda ḣdaḣda nahuhuza, ḣdaḣdadowaƞ keyapi, ipsidya waci ḣdaḣda ed, tate aḣewaƞg",,JK
00035,"wiyakpa iyoyaƞpa, iyehaƞtu, ḣtayetu ata waci, ḣdaḣda hehaƞ wak̇te, k̇uƞwakaƞ waƞji caƞwiyusdohe, k̇unwakaƞ iyayapo, si yuwakaƞ ikikcu, aƞpetu ataya wacipi ḣdaḣda k̇i iciciya, he ḣdaḣda he, he ḣdaḣda he, ḣdaḣda hehewaci",,JK
00035,o wazicaƞ,o christmas tree,JK
00035,o wazicaƞ o wazicaƞ,o christmas tree o christmas tree,JK
00035,adetka wak̇agya najiƞ,how steadfast are your brances,JK
00035,bdoketu adetka totoya,your boughs are green in summers clime,JK
00035,waniyetu ihuƞniya,and through the snows of wintertime,JK
00036,mazop̣iyata da he?,did you go to the store?,JK
00036,john otuƞweta iyaya he,did John go to the store?,JK
00036,ḣtaƞihaƞ ye kta,tomorrow he will go,JK
00036,owaƞka yujajapi hehan mary wac̣ipi ye kta,saturday Mary will go to the powwow,JK
00036,"kabeza kiƞhaƞ, hehan uƞyaƞpte","when it clears up, we will go",JK
00036,waƞna uƞyaƞpte,let's go now,JK
00036,tuwe kci bde kte he?,who will go with me?,JK
00036,tokeya uƞyaƞpta he?,where shall we go?,JK
00036,miyecu kta he?,are you going to return it to me?,JK
00036,micu,give it to me,JK
00037,pha,lip,JK
00037,pute,upper lip,JK
00037,isti,lower lip,JK
00037,iha uƞ epazo,he pointed with his lips,JK
00037,i k̇a kiye,put lipstick on,JK
00037,pasu,nose,JK
00037,i,mouth,JK
00037,pasu pomnamna najin,he shook his nose back and forth because he didn't like the smell,JK
00037,ktaƞ,crooked,JK
00037,pawe,bloody nose,JK
00037,he i ed ohnake k̇ni,don't put it in your mouth,JK
00038,etaƞhaƞ u,comes from,JK
00039,makasaƞ,clay; playdoh,JK
00039,makasaƞ unzuzuecana wanji kaga,make a snake using playdoh,JK
00039,jaƞjaƞ,jar,JK
00039,jaƞjaƞ he ojuna,that jar is full,JK
00039,ojuna,full,JK
00039,oiheyena,toilet,JK
00039,oiheyena akan yaƞka,sit on the toilet,JK
00039,pasu ikpakiƞte,kleenex puffs,JK
00039,pasu ikpakiƞte waƞji maḳu,give me a kleenex,JK
00039,wakaƞhdi ijaƞjaƞ,lights (electric),JK
00039,wakaƞhdi ijaƞjaƞ yuide,turn on the lights,JK
00039,caƞakaƞyaƞkapi,chair,JK
00039,canakaƞyaƞkapi icipaṡ ehanaka,put the chair back,JK
00039,icipaṡ,back by the same way,JK
00039,caƞakanyaƞkapi,chair,JK
00039,akan,on,JK
00039,yaƞkapi,they sit,JK
00039,ṡina un akahpa,get under the blanket,JK
00039,ṡina,blanket,JK
00039,wowapi ska,paper,JK
